,compound,neg,neu,pos,Date,Open,High,Low,Close,Adj Close,Volume
0,-0.1366,0.104,0.896,0.0,2017-12-07,2628.379883,2640.98999,2626.530029,2636.97998,2636.97998,3292400000
1,0.0,0.0,0.0,0.0,2017-12-08,2646.209961,2651.649902,2644.100098,2651.5,2651.5,3106150000
2,0.0,0.0,0.0,0.0,2017-12-11,2652.189941,2660.330078,2651.469971,2659.98999,2659.98999,3091950000
3,0.0,0.0,0.0,0.0,2017-12-12,2661.72998,2669.719971,2659.780029,2664.110107,2664.110107,3555680000
4,0.0,0.0,0.0,0.0,2017-12-13,2667.590088,2671.879883,2662.850098,2662.850098,2662.850098,3542370000
5,0.0,0.0,0.0,0.0,2017-12-14,2665.870117,2668.090088,2652.01001,2652.01001,2652.01001,3430030000
6,0.0,0.0,0.0,0.0,2017-12-15,2660.629883,2679.629883,2659.139893,2675.810059,2675.810059,5723920000
7,0.0,0.0,0.0,0.0,2017-12-18,2685.919922,2694.969971,2685.919922,2690.159912,2690.159912,3724660000
8,0.0,0.0,0.0,0.0,2017-12-19,2692.709961,2694.439941,2680.73999,2681.469971,2681.469971,3368590000
9,0.0,0.0,0.0,0.0,2017-12-20,2688.179932,2691.01001,2676.110107,2679.25,2679.25,3241030000
10,0.296,0.0,0.845,0.155,2017-12-21,2683.02002,2692.639893,2682.399902,2684.570068,2684.570068,3273390000
11,0.0,0.0,0.0,0.0,2017-12-22,2684.219971,2685.350098,2678.129883,2683.340088,2683.340088,2399830000
12,-0.07476666666666666,0.25566666666666665,0.5653333333333334,0.17866666666666667,2017-12-26,2679.090088,2682.73999,2677.959961,2680.5,2680.5,1968780000
13,0.1108,0.073,0.847,0.08,2017-12-27,2682.100098,2685.639893,2678.909912,2682.620117,2682.620117,2202080000
14,0.0,0.0,0.0,0.0,2017-12-28,2686.100098,2687.659912,2682.689941,2687.540039,2687.540039,2153330000
15,0.15036666666666668,0.08266666666666667,0.7743333333333333,0.143,2017-12-29,2689.149902,2692.120117,2673.610107,2673.610107,2673.610107,2443490000
16,0.07618637236084454,0.03651439539347409,0.8793992322456813,0.08408253358925144,2018-01-02,2683.72998,2695.889893,2682.360107,2695.810059,2695.810059,3367250000
17,0.06871131034482758,0.037100689655172416,0.8832910344827586,0.07961241379310345,2018-01-03,2697.850098,2714.370117,2697.77002,2713.060059,2713.060059,3538660000
18,0.08307198335644937,0.03801109570041609,0.8736796116504855,0.08830374479889043,2018-01-04,2719.310059,2729.290039,2719.070068,2723.98999,2723.98999,3695260000
19,0.061525749559082896,0.042183421516754846,0.8812028218694885,0.07661904761904761,2018-01-05,2731.330078,2743.449951,2727.919922,2743.149902,2743.149902,3236620000
20,0.08480335570469799,0.031582214765100675,0.8909530201342283,0.07746644295302013,2018-01-08,2742.669922,2748.51001,2737.600098,2747.709961,2747.709961,3242650000
21,0.05464519846350832,0.03611395646606914,0.8935659411011524,0.07032010243277849,2018-01-09,2751.149902,2759.139893,2747.860107,2751.290039,2751.290039,3453480000
22,0.05208155844155844,0.04317012987012987,0.8826519480519481,0.07417532467532467,2018-01-10,2745.550049,2750.800049,2736.060059,2748.22998,2748.22998,3576350000
23,0.07525633187772925,0.038548762736535666,0.8799577874818049,0.08149781659388645,2018-01-11,2752.969971,2767.560059,2752.780029,2767.560059,2767.560059,3641320000
24,0.08517568,0.0341408,0.8849216000000001,0.080944,2018-01-12,2770.179932,2787.850098,2769.639893,2786.23999,2786.23999,3573970000
25,0.07002893617021277,0.04245390070921986,0.8770056737588652,0.08054326241134752,2018-01-16,2798.959961,2807.540039,2768.639893,2776.419922,2776.419922,4325970000
26,0.09279884020618556,0.032396907216494845,0.8835064432989691,0.08409407216494846,2018-01-17,2784.98999,2807.040039,2778.379883,2802.560059,2802.560059,3778050000
27,0.0706227560050569,0.03876359039190898,0.8838912768647282,0.07734892541087231,2018-01-18,2802.399902,2805.830078,2792.560059,2798.030029,2798.030029,3681470000
28,0.06610065466448446,0.04631751227495908,0.8729574468085105,0.08073158756137479,2018-01-19,2802.600098,2810.330078,2798.080078,2810.300049,2810.300049,3639430000
29,0.05458375634517767,0.052868020304568525,0.866992385786802,0.0801497461928934,2018-01-22,2809.159912,2833.030029,2808.120117,2832.969971,2832.969971,3471780000
30,0.08601597444089458,0.0407689030883919,0.8722460063897763,0.08698189563365283,2018-01-23,2835.050049,2842.23999,2830.590088,2839.129883,2839.129883,3519650000
31,0.09769030373831776,0.034700934579439256,0.8766039719626169,0.088696261682243,2018-01-24,2845.419922,2852.969971,2824.810059,2837.540039,2837.540039,4014070000
32,0.08693727810650888,0.03215384615384616,0.8909928994082841,0.07685680473372782,2018-01-25,2846.23999,2848.560059,2830.939941,2839.25,2839.25,3835150000
33,0.06967270375161708,0.0415006468305304,0.8773182406209573,0.0811849935316947,2018-01-26,2847.47998,2872.870117,2846.179932,2872.870117,2872.870117,3443230000
34,0.07995362563237775,0.04238448566610455,0.8754890387858347,0.0821247892074199,2018-01-29,2867.22998,2870.620117,2851.47998,2853.530029,2853.530029,3573830000
35,0.0772202813599062,0.042840562719812424,0.8693434935521688,0.08781946072684642,2018-01-30,2832.73999,2837.75,2818.27002,2822.429932,2822.429932,3990650000
36,0.09107987012987012,0.03442640692640692,0.8852965367965369,0.08027597402597403,2018-01-31,2832.409912,2839.26001,2813.040039,2823.810059,2823.810059,4261280000
37,0.0794338399189463,0.026144883485309016,0.901210739614995,0.07264741641337387,2018-02-01,2816.449951,2835.959961,2812.699951,2821.97998,2821.97998,3938450000
38,0.09842173913043478,0.034900966183574876,0.8751799516908213,0.08990942028985506,2018-02-02,2808.919922,2808.919922,2759.969971,2762.129883,2762.129883,4301130000
39,0.07764421252371917,0.047349146110056924,0.8605977229601518,0.09205313092979127,2018-02-05,2741.060059,2763.389893,2638.169922,2648.939941,2648.939941,5283460000
40,0.06082822857142857,0.03752571428571429,0.8902251428571428,0.07225485714285715,2018-02-06,2614.780029,2701.040039,2593.070068,2695.139893,2695.139893,5891660000
41,0.07051988700564972,0.044054237288135595,0.8745152542372882,0.0814361581920904,2018-02-07,2690.949951,2727.669922,2681.330078,2681.659912,2681.659912,4626570000
42,0.05443976793248945,0.041262658227848095,0.8891508438818565,0.06959071729957805,2018-02-08,2685.01001,2685.27002,2580.560059,2581.0,2581.0,5305440000
43,0.019601851851851853,0.06439506172839506,0.8645641975308642,0.07104691358024691,2018-02-09,2601.780029,2638.669922,2532.689941,2619.550049,2619.550049,5680070000
44,0.052224870466321245,0.051169257340241796,0.8716476683937824,0.0771796200345423,2018-02-12,2636.75,2672.610107,2622.449951,2656.0,2656.0,4055790000
45,0.05529463243873979,0.04384830805134189,0.8803395565927655,0.07581680280046674,2018-02-13,2646.27002,2668.840088,2637.080078,2662.939941,2662.939941,3472870000
46,0.0581410843373494,0.04826626506024096,0.8728518072289156,0.07887951807228916,2018-02-14,2651.209961,2702.100098,2648.870117,2698.629883,2698.629883,4003740000
47,0.06404685230024214,0.04631234866828087,0.873590799031477,0.080090799031477,2018-02-15,2713.459961,2731.51001,2689.820068,2731.199951,2731.199951,3684910000
48,0.05321042584434655,0.0476769456681351,0.8765374449339207,0.07579001468428781,2018-02-16,2727.139893,2754.419922,2725.110107,2732.219971,2732.219971,3637460000
49,0.06922311688311689,0.04266493506493506,0.8744103896103896,0.08292467532467532,2018-02-20,2722.98999,2737.600098,2706.76001,2716.26001,2716.26001,3627610000
50,0.06839697386519945,0.041086657496561214,0.8820880330123797,0.07682530949105915,2018-02-21,2720.530029,2747.75,2701.290039,2701.330078,2701.330078,3779400000
