,date,Adj Close,wsj_mean_compound,cnbc_mean_compound,fortune_mean_compound,reuters_mean_compound
0,2017-12-07,2636.97998,0.296,-0.1366,0.0,0.0
1,2017-12-08,2651.5,0.0,0.0,-0.2423,0.0
2,2017-12-11,2659.98999,0.0,0.0,0.0,0.0
3,2017-12-12,2664.110107,0.0,0.0,0.0,0.0
4,2017-12-13,2662.850098,0.0,0.0,0.0,0.0
5,2017-12-14,2652.01001,-0.17253333333333334,0.0,0.0,0.0
6,2017-12-15,2675.810059,-0.1806,0.0,0.0,0.0
7,2017-12-18,2690.159912,0.0,0.0,0.0,0.0
8,2017-12-19,2681.469971,0.0,0.0,0.0,0.0
9,2017-12-20,2679.25,0.0,0.0,0.0,0.0
10,2017-12-21,2684.570068,0.06743333333333333,0.296,0.0,0.0
11,2017-12-22,2683.340088,0.0,0.0,0.0,0.0
12,2017-12-26,2680.5,0.0,-0.07476666666666666,0.0,0.4019
13,2017-12-27,2682.620117,0.34,0.1108,0.0,0.0
14,2017-12-28,2687.540039,0.0,0.0,-0.4767,0.0
15,2017-12-29,2673.610107,0.0,0.15036666666666668,0.0,0.0
16,2018-01-02,2695.810059,0.023262666666666664,0.07618637236084454,-0.06529999999999998,-0.03389589665653495
17,2018-01-03,2713.060059,0.032048031496062994,0.06871131034482758,0.011434782608695649,0.008105509641873277
18,2018-01-04,2723.98999,-0.01688671328671329,0.08307198335644937,-0.06423111111111113,-0.011256312625250502
19,2018-01-05,2743.149902,-0.000632413793103451,0.061525749559082896,0.017026829268292687,0.019690888382687927
20,2018-01-08,2747.709961,0.037838211382113816,0.08480335570469799,-0.011615686274509804,0.0571482254697286
21,2018-01-09,2751.290039,-0.003566428571428572,0.05464519846350832,0.028240350877192986,0.029999832915622388
22,2018-01-10,2748.22998,0.042846,0.05208155844155844,0.07026744186046512,0.03687803738317757
23,2018-01-11,2767.560059,0.012324264705882356,0.07525633187772925,-0.042692452830188674,0.020609507829977627
24,2018-01-12,2786.23999,0.0051883040935672515,0.08517568,-0.02554772727272728,0.04110855884203902
25,2018-01-16,2776.419922,-0.008468468468468469,0.07002893617021277,-0.04688055555555556,0.025613845258871438
26,2018-01-17,2802.560059,-0.02247391304347826,0.09279884020618556,-0.030629508196721313,0.02130225806451613
27,2018-01-18,2798.030029,0.04265095541401274,0.0706227560050569,0.08089375,0.0455828717948718
28,2018-01-19,2810.300049,-0.023276666666666664,0.06610065466448446,0.029703703703703704,0.04623035602748283
29,2018-01-22,2832.969971,-0.019821186440677964,0.05458375634517767,0.0362,0.04392616596002422
30,2018-01-23,2839.129883,0.002873026315789473,0.08601597444089458,0.017955769230769233,0.051674531645569614
31,2018-01-24,2837.540039,-0.0547725,0.09769030373831776,0.061393023255813965,0.056346118012422355
32,2018-01-25,2839.25,0.01974915254237288,0.08693727810650888,-0.04199,0.037725801886792455
33,2018-01-26,2872.870117,-0.056607971014492754,0.06967270375161708,0.037142424242424234,0.03653706705969049
34,2018-01-29,2853.530029,-0.033931914893617014,0.07995362563237775,0.05926756756756756,0.0690510477299185
35,2018-01-30,2822.429932,-0.002818181818181818,0.0772202813599062,0.02818125,0.0680171133051246
36,2018-01-31,2823.810059,-0.00657297297297297,0.09107987012987012,0.07142708333333334,0.07129656357388316
37,2018-02-01,2821.97998,0.04082012987012987,0.0794338399189463,-0.001109090909090909,0.07749442158207591
38,2018-02-02,2762.129883,-0.012406918238993708,0.09842173913043478,-0.025529268292682927,0.053713363821138206
39,2018-02-05,2648.939941,0.06351619047619048,0.07764421252371917,0.047530303030303034,0.04046062461726883
40,2018-02-06,2695.139893,0.0041866666666666675,0.06082822857142857,-0.0388490909090909,0.050036653956148716
41,2018-02-07,2681.659912,-0.009460115606936416,0.07051988700564972,0.05292444444444445,0.060721299160406535
42,2018-02-08,2581.0,-0.016982142857142855,0.05443976793248945,-0.022629166666666662,0.09051655996585574
43,2018-02-09,2619.550049,-0.05833984375,0.019601851851851853,-0.0032824999999999938,0.04494835659612787
44,2018-02-12,2656.0,-0.03449074074074074,0.052224870466321245,-0.06973103448275861,0.06475313415348564
45,2018-02-13,2662.939941,-0.06066312056737588,0.05529463243873979,-0.014857499999999996,0.07128271835590845
46,2018-02-14,2698.629883,0.031119178082191782,0.0581410843373494,0.02389607843137255,0.07535663755458515
47,2018-02-15,2731.199951,0.021708333333333336,0.06404685230024214,0.09952037037037037,0.06363465491923642
48,2018-02-16,2732.219971,0.00846923076923077,0.05321042584434655,-0.07029090909090908,0.05435280957336108
49,2018-02-20,2716.26001,0.0013119266055045863,0.06922311688311689,-0.04475116279069768,0.057105389980976536
50,2018-02-21,2701.330078,-0.005596946564885496,0.06839697386519945,-0.033767924528301886,0.05875546912980068
51,2018-02-22,2703.959961,0.0046758169934640525,0.0604401888772298,-0.003896153846153843,0.08400449735449736
52,2018-02-23,2747.300049,-0.033897142857142855,0.049480921895006406,0.019220408163265305,0.055136295503211995
53,2018-02-26,2779.600098,0.06023536585365854,0.06309561904761905,-0.052399999999999995,0.05695852878464819
